Instance,AS_Prediction
71,0.725835884276701
129,0.7400434473986023
22,0.691164348042473
183,0.7470124023338829
429,0.6475447981987894
64,0.6596410432501547
481,0.7354485315069664
241,0.7803302829203413
281,0.7227667678720842
84,0.7403906857374316
161,0.7963725879903691
103,0.6377443313125583
209,0.6300202569752765
206,0.6277039661896101
244,0.6282028937914172
336,0.6188049934364845
331,0.6521513470159929
0,0.6322900888405808
261,0.6561470419734375
504,0.6178192738798183
407,0.6243942198948619
440,0.6387102063912187
230,0.6248164247043688
430,0.6288354048733932
A,0.6134730543638209
357,0.6200073634974771
202,0.6036780416970792
345,0.6164370093029398
232,0.6230253027088539
127,0.639761267310565
20,0.621577661835239
387,0.6292408003155767
67,0.6358524484939633
502,0.6325499466220034
94,0.6343434722012706
74,0.6438893245461057
23,0.6389615774908856
156,0.6185098844252388
394,0.6402739030346954
121,0.6310027675482701
242,0.6261735151473572
80,0.6228178422626724
11,0.6123719673653502
59,0.6204655945060625
179,0.6208037325749728
427,0.6374533943855037
340,0.6292051619183604
137,0.6249249149083935
366,0.6344207022572781
322,0.6224843158840099
81,0.6380955442989354
237,0.6319224987712189
69,0.6335192862094166
239,0.6501994918850242
497,0.6271486420735033
496,0.6323705302343336
92,0.6364394143825475
168,0.6304116032754732
14,0.6315605215065471
367,0.617748803733985
247,0.6397072244076436
