Instance,VBS_Prediction
71,0.8677763158169138
129,0.8125043538755551
22,0.856631212157109
183,0.8191156109374128
429,0.8336358953394316
64,0.8560393872315492
481,0.8415888282739045
241,0.8591749249617461
281,0.851298912383648
84,0.866062323712024
161,0.8547327432083803
103,0.8492213747442655
209,0.8636854870292491
206,0.8645392753913016
244,0.8468977790265758
336,0.8515574551306975
331,0.8481505222269027
0,0.8502550876664398
261,0.862106583709406
504,0.8449041433699914
407,0.857541112622482
440,0.8619122775882313
230,0.8502903257839342
430,0.8556849988014202
A,0.8456354982402041
357,0.8507778963216045
202,0.8417690847557757
345,0.8673932319573039
232,0.8512421851163287
127,0.8477233759807957
20,0.8628453691745764
387,0.8575762624179777
67,0.8434810334658269
502,0.8579869463712773
94,0.8485866442856945
74,0.8382711573342803
23,0.8539577881706305
156,0.8628922596405043
394,0.8489072126185444
121,0.8362005426064453
242,0.8519886247984941
80,0.862084159295436
11,0.8478379641471625
59,0.8453457657741503
179,0.8595660142998632
427,0.8530353824592447
340,0.8620384201607045
137,0.8496331358403291
366,0.8551703924612533
322,0.8472238546915953
81,0.8661135601491603
237,0.8499378516960766
69,0.853920526637835
239,0.8542979262690341
497,0.8497000497156725
496,0.8406265625588092
