Instance,VBS_Prediction
71,0.7164664079774283
129,0.7421099554960828
22,0.6855817606046836
183,0.7559837669787597
429,0.6429129556820784
64,0.6393264746129429
481,0.7415849157558612
241,0.7621480663548031
281,0.717878533750018
84,0.7331001982759698
161,0.7959477973132729
103,0.6297616337092272
209,0.6486683737391131
206,0.6242751063138959
244,0.6388091544559922
336,0.6196316050613949
331,0.6445544277694146
0,0.6372910064197876
261,0.6237630769317689
504,0.632304411537191
407,0.6233523122279787
440,0.6303170856657655
230,0.6248587029655399
430,0.6191156761072196
A,0.6320071725638604
357,0.6208098277282096
202,0.636939082341628
345,0.6309795267790319
232,0.6504654604737087
127,0.6294932799290103
20,0.6260462544201024
387,0.6219929995911666
67,0.6252484895756814
502,0.6259490235226639
94,0.6268738330305124
74,0.6371023903755605
23,0.6329757305771325
156,0.6304821332834757
394,0.6422960461948475
121,0.6232069293084498
242,0.6244261313717228
80,0.6275055051225867
11,0.6302916315508954
59,0.6232843021924434
179,0.6182549656803364
427,0.6401762212599148
340,0.6371270295993638
137,0.6383868054321201
366,0.6142417774924473
322,0.6199866674073866
81,0.6330653195658986
237,0.6125362480789321
69,0.6368858456000305
239,0.6357431584903521
497,0.628669578393989
496,0.6263956684344117
92,0.6217824024554779
168,0.6194023986265906
14,0.6365081930120874
367,0.6343632580934603
247,0.6225274054274618
