Instance,VBS_Prediction
71,0.8478672784638279
129,0.8096062454491876
22,0.8462686635140055
183,0.8265808888480499
429,0.8327022149837282
64,0.8526231665881828
481,0.8533184317295968
241,0.856335350362786
281,0.8634464710024087
84,0.8507503493566568
161,0.8588101258189919
103,0.8630456178977804
209,0.8452505767586588
206,0.869699512399142
244,0.8386163373533857
336,0.8512496734906015
331,0.831889325492682
0,0.8719111893004617
261,0.8661101198270308
504,0.8573500792728801
407,0.8364111272400184
440,0.8512214234286649
230,0.8674053332423053
430,0.8293680508361951
A,0.8500950390095302
357,0.852164022181787
202,0.8557934378723087
345,0.8514954451159502
232,0.8619679255427394
127,0.8519287878337864
20,0.8582152564055501
387,0.8566142128459695
67,0.8420870389795241
502,0.8579790273223615
94,0.8581012394309715
74,0.8596667747595452
23,0.8604105297630494
156,0.8527187839439145
394,0.852166246715915
121,0.8552825588643939
242,0.8532292116433234
80,0.8584135866660132
11,0.8537841503891853
59,0.8493164426201949
179,0.8396500134754263
427,0.8455240582767874
340,0.8381249362349409
137,0.8509362428454214
366,0.8610196014472408
322,0.8422328336865001
81,0.8776266632259885
237,0.8600441759632205
69,0.8686451065468619
239,0.8465615293130745
497,0.8455073838737894
496,0.8501426296460033
