Instance,VBS_Prediction
71,0.725286694557733
129,0.74620165537201
22,0.6931659846339943
183,0.7472829708720445
429,0.6551431095327842
64,0.6262214877976515
481,0.7268108398261256
241,0.7579405893149483
281,0.738268097001195
84,0.7400429526384772
161,0.7938327003275643
103,0.6133657968537622
209,0.6394159548537128
206,0.6423608347792579
244,0.6242397215000358
336,0.6369928232948563
331,0.6345487725754302
0,0.6362989562367943
261,0.6110885243570453
504,0.6105991490282157
407,0.6280990461232698
440,0.6409401878215236
230,0.6397415552016795
430,0.6308220842720309
A,0.6198146223404404
357,0.6631999576940353
202,0.6238758896680723
345,0.6362503825488411
232,0.6483948760591781
127,0.6368452754004581
20,0.6407170054438359
387,0.6204544827183469
67,0.6379853778773888
502,0.6437175970466291
94,0.6310890050601956
74,0.6451678628762741
23,0.6517022031889568
156,0.6489106675715786
394,0.628941140576377
121,0.6295844406178848
242,0.6175759473634008
80,0.6111964055042985
11,0.6241964081247023
59,0.6349260504908041
179,0.6329669113559945
427,0.6214388193582963
340,0.6246195907476852
137,0.6310775623312057
366,0.6304214987676136
322,0.6309291170566707
81,0.6329842477482099
237,0.6233363138559979
69,0.6288932919613648
239,0.6240782751521576
497,0.6438977543276515
496,0.6337167357735536
92,0.6453533330064073
168,0.6214586299143167
14,0.6346215855687616
367,0.626378917034338
247,0.6482111446130507
