Instance,AS_Prediction
71,0.7110507635325063
129,0.7430383442606402
22,0.6936951211955938
183,0.7472209485961853
429,0.6457150860341027
64,0.6515292693362117
481,0.7338502567712947
241,0.7693113268679997
281,0.7293500828390362
84,0.7348711298161339
161,0.8018066686121804
103,0.6300828719875329
209,0.6338090664703362
206,0.6221088667900488
244,0.6239727683238425
336,0.6150489723706581
331,0.634479182981364
0,0.63426290920742
261,0.6352804116834065
504,0.6371578394315944
407,0.614396334551831
440,0.6344123764447386
230,0.6260276722748087
430,0.6361442062972429
A,0.6138620195181972
357,0.6490052803953426
202,0.6130551109541662
345,0.6253774220940134
232,0.6280848126449906
127,0.6230484460175976
20,0.6378728780171782
387,0.6256014053035561
67,0.6310351851115882
502,0.6426465875136548
94,0.631153550351679
74,0.6465950510266277
23,0.6323644163506753
156,0.6230033001668087
394,0.628963735077816
121,0.6315361915981973
242,0.627983394133028
80,0.6257999085492338
11,0.6094132431081152
59,0.6357796134986983
179,0.6332212045428033
427,0.6329918283048152
340,0.6552111676244446
137,0.618112389737064
366,0.6147616069850745
322,0.610258782871123
81,0.6360035131895141
237,0.6327990669492894
69,0.6273357874786606
239,0.6360958954678736
497,0.627330524490121
496,0.632865582221812
92,0.632656947590489
168,0.6164099947760051
14,0.6290846749548522
367,0.6300034555256985
247,0.6289341650087492
