Instance,AS_Prediction
71,0.7921404665110008
129,0.7395877187356004
22,0.6964828702614997
183,0.8767446115672713
429,0.7880198468359499
64,0.7938333487783998
481,0.7889219517043999
241,0.7986304824412
281,0.8071819603372002
84,0.7829318168747502
161,0.78603874717465
103,0.8018893005816001
209,0.7987364177820498
206,0.79716802608625
244,0.8083784935698999
336,0.7997997151824998
331,0.7969781797723998
0,0.78512714626815
261,0.7866448453511502
504,0.7935207103915499
407,0.8002391778947501
440,0.7965767670731003
230,0.8038509189048498
430,0.7966901421959003
A,0.7991166402783001
357,0.8016561671694
202,0.7908252112645
345,0.8022151605198498
232,0.7954216573988501
127,0.8010451462589
20,0.7916724694841004
387,0.7908086972158002
67,0.79801262783835
502,0.8067068667437997
94,0.7950636473448501
74,0.79050505422035
23,0.7989337827475498
156,0.7991091929263497
394,0.8029081283336498
121,0.7950743195302501
242,0.7830176473730002
80,0.7960936389058497
11,0.8047162293279503
59,0.7947470054494503
179,0.8080083863153998
427,0.7958589143305999
340,0.7875541074771502
137,0.8079523115631
366,0.7868733961070998
322,0.7910252684472502
81,0.7945525477575002
237,0.8126821281401501
69,0.7879058064824999
239,0.7966056155084502
497,0.79330987837715
